Year,muni,Month,count,date,lon,lat
2015,04002,January,1,2015-01-01,-90.26764808,19.61701765
2015,05035,January,1,2015-01-01,-103.24891934,25.17007521
2015,07037,January,1,2015-01-01,-92.42377328,15.00940399
2015,07101,January,1,2015-01-01,-93.13728498,16.73944663
2015,09007,January,2,2015-01-01,-99.05679896,19.34916632
2015,09016,January,2,2015-01-01,-99.20456691,19.42806236
2015,11028,January,1,2015-01-01,-100.91513098,20.20756151
2015,14018,January,1,2015-01-01,-102.5232997,20.36382714
2015,14039,January,1,2015-01-01,-103.33574832,20.67621886
2015,14097,January,1,2015-01-01,-103.41736734,20.47869601
2015,14120,January,1,2015-01-01,-103.49421,20.79490429
2015,15031,January,2,2015-01-01,-98.94720806,19.41627371
2015,15033,January,1,2015-01-01,-99.04321177,19.57278367
2015,15035,January,1,2015-01-01,-99.25502817,19.82263264
2015,15058,January,2,2015-01-01,-99.02269952,19.42257866
2015,15108,January,1,2015-01-01,-99.11964884,19.67930656
2015,15121,January,1,2015-01-01,-99.22522664,19.65453652
2015,17018,January,1,2015-01-01,-99.27224257,18.84253096
2015,21114,January,1,2015-01-01,-98.17615466,19.00761149
2015,22006,January,1,2015-01-01,-100.44107489,20.48544207
2015,22014,January,1,2015-01-01,-100.45271029,20.72880538
2015,25005,January,1,2015-01-01,-106.79943513,24.48148376
2015,25006,January,1,2015-01-01,-107.26665386,24.6514903
2015,26017,January,1,2015-01-01,-112.53948622,30.82495234
2015,26042,January,1,2015-01-01,-109.4027334,27.07810146
2015,30045,January,1,2015-01-01,-95.97233596,18.30206741
2015,30124,January,1,2015-01-01,-97.28632709,20.41090014
2015,30193,January,1,2015-01-01,-96.22166441,19.18582605
2015,04003,February,1,2015-02-01,-91.48322871,18.52404216
2015,04003,February,1,2015-02-01,-91.48322871,18.52404216
2015,05025,February,1,2015-02-01,-100.61446971,28.7798203
2015,07032,February,1,2015-02-01,-92.55816843,15.36443247
2015,07069,February,1,2015-02-01,-93.19240132,15.66955613
2015,09005,February,1,2015-02-01,-99.11586421,19.50406521
2015,09011,February,1,2015-02-01,-99.00282162,19.27699838
2015,10005,February,1,2015-02-01,-104.84370124,23.97048255
2015,12022,February,1,2015-02-01,-100.92990638,18.08179439
2015,14035,February,1,2015-02-01,-102.19147983,21.55570522
2015,14039,February,2,2015-02-01,-103.33574832,20.67621886
2015,14070,February,1,2015-02-01,-103.24545725,20.53902526
2015,14094,February,1,2015-02-01,-103.78096192,21.11246072
2015,15031,February,1,2015-02-01,-98.94720806,19.41627371
2015,15033,February,1,2015-02-01,-99.04321177,19.57278367
2015,15033,February,1,2015-02-01,-99.04321177,19.57278367
2015,15051,February,1,2015-02-01,-99.47486234,19.34508348
2015,15076,February,1,2015-02-01,-99.54225234,19.26895424
2015,17007,February,1,2015-02-01,-99.26302765,18.93887812
2015,22006,February,1,2015-02-01,-100.44107489,20.48544207
2015,25006,February,1,2015-02-01,-107.26665386,24.6514903
2015,25006,February,1,2015-02-01,-107.26665386,24.6514903
2015,26018,February,1,2015-02-01,-109.88677107,27.79281977
2015,26030,February,1,2015-02-01,-111.4735094,29.02367335
2015,26056,February,1,2015-02-01,-110.79864014,29.46301686
2015,30048,February,1,2015-02-01,-94.5680803,18.01624261
2015,30134,February,1,2015-02-01,-96.56567185,19.30132699
2015,30135,February,1,2015-02-01,-97.09560038,18.80292982
2015,02002,March,1,2015-03-01,-115.16622899,31.74174431
2015,02002,March,1,2015-03-01,-115.16622899,31.74174431
2015,02004,March,1,2015-03-01,-116.81997003,32.40407195
2015,05028,March,1,2015-03-01,-101.14300065,27.92287166
2015,09012,March,1,2015-03-01,-99.2062208,19.19833968
2015,09013,March,1,2015-03-01,-99.0903636,19.24514505
2015,09015,March,1,2015-03-01,-99.14905576,19.43137343
2015,09017,March,1,2015-03-01,-99.0931058,19.43049545
2015,11023,March,1,2015-03-01,-101.81584524,20.40161797
2015,14023,March,1,2015-03-01,-103.51033691,19.71077367
2015,14039,March,2,2015-03-01,-103.33574832,20.67621886
2015,14067,March,1,2015-03-01,-105.14914563,20.69785937
2015,14097,March,2,2015-03-01,-103.41736734,20.47869601
2015,14101,March,1,2015-03-01,-103.2143447,20.62005309
2015,14104,March,1,2015-03-01,-103.47857421,21.95891053
2015,15018,March,1,2015-03-01,-99.64325788,19.16553448
2015,15033,March,1,2015-03-01,-99.04321177,19.57278367
2015,15058,March,1,2015-03-01,-99.02269952,19.42257866
2015,15120,March,1,2015-03-01,-99.07182055,19.80910677
2015,15121,March,1,2015-03-01,-99.22522664,19.65453652
2015,17031,March,1,2015-03-01,-99.2027141,18.65565407
2015,24028,March,1,2015-03-01,-100.96088855,22.27047925
2015,25001,March,1,2015-03-01,-109.1331985,25.89564801
2015,25012,March,1,2015-03-01,-106.30596381,23.46841439
2015,26018,March,1,2015-03-01,-109.88677107,27.79281977
2015,26026,March,1,2015-03-01,-109.68853384,27.0151371
2015,27004,March,1,2015-03-01,-92.8602107,18.00910356
2015,30060,March,1,2015-03-01,-97.6689843,21.37645382
2015,30189,March,1,2015-03-01,-97.41178697,20.93479451
2015,02001,April,1,2015-04-01,-114.9572143,30.03650955
2015,02004,April,1,2015-04-01,-116.81997003,32.40407195
2015,05010,April,1,2015-04-01,-101.52827288,26.94769788
2015,05022,April,1,2015-04-01,-100.62048865,28.49643866
2015,07065,April,1,2015-04-01,-91.81265557,17.4440756
2015,07092,April,1,2015-04-01,-93.39546257,17.17295415
2015,07101,April,1,2015-04-01,-93.13728498,16.73944663
2015,07115,April,1,2015-04-01,-91.24859487,16.19919393
2015,09002,April,1,2015-04-01,-99.18210694,19.48532861
2015,09007,April,2,2015-04-01,-99.05679896,19.34916632
2015,09008,April,1,2015-04-01,-99.26841291,19.2689765
2015,09010,April,1,2015-04-01,-99.24681971,19.33617556
2015,09012,April,1,2015-04-01,-99.2062208,19.19833968
2015,09013,April,2,2015-04-01,-99.0903636,19.24514505
2015,09015,April,1,2015-04-01,-99.14905576,19.43137343
2015,09015,April,1,2015-04-01,-99.14905576,19.43137343
2015,11020,April,1,2015-04-01,-101.62240262,21.12474925
2015,11042,April,1,2015-04-01,-101.27056093,20.37832823
2015,14030,April,1,2015-04-01,-103.18791124,20.25986033
2015,14039,April,1,2015-04-01,-103.33574832,20.67621886
2015,15024,April,1,2015-04-01,-99.15945203,19.70821393
2015,15031,April,1,2015-04-01,-98.94720806,19.41627371
2015,15106,April,1,2015-04-01,-99.66699652,19.29626331
2015,16053,April,1,2015-04-01,-101.27910664,19.66659348
2015,17011,April,1,2015-04-01,-99.16645097,18.88515843
2015,21114,April,1,2015-04-01,-98.17615466,19.00761149
2015,22011,April,1,2015-04-01,-100.27861751,20.72022829
2015,25001,April,1,2015-04-01,-109.1331985,25.89564801
2015,27016,April,1,2015-04-01,-92.95237537,17.62330665
2015,30054,April,1,2015-04-01,-95.80713719,18.21342248
2015,30087,April,1,2015-04-01,-96.88833353,19.54385763
2015,30131,April,1,2015-04-01,-97.43847188,20.53004888
2015,30193,April,1,2015-04-01,-96.22166441,19.18582605
2015,07031,May,1,2015-05-01,-92.03514187,17.10969122
2015,07059,May,1,2015-05-01,-91.33749873,16.70209387
2015,09002,May,1,2015-05-01,-99.18210694,19.48532861
2015,09003,May,1,2015-05-01,-99.15037635,19.32666725
2015,09006,May,1,2015-05-01,-99.0943298,19.3969119
2015,09007,May,3,2015-05-01,-99.05679896,19.34916632
2015,11012,May,1,2015-05-01,-101.66800959,20.61522623
2015,11044,May,1,2015-05-01,-100.9925124,20.5419619
2015,14047,May,1,2015-05-01,-102.68567452,20.28013081
2015,14086,May,1,2015-05-01,-103.7654714,19.94823865
2015,15035,May,1,2015-05-01,-99.25502817,19.82263264
2015,15039,May,1,2015-05-01,-98.77905526,19.34280188
2015,15043,May,1,2015-05-01,-99.35927063,19.16524522
2015,15060,May,1,2015-05-01,-99.39174976,19.62497302
2015,15106,May,1,2015-05-01,-99.66699652,19.29626331
2015,24013,May,2,2015-05-01,-99.06316081,22.10739256
2015,24028,May,1,2015-05-01,-100.96088855,22.27047925
2015,24042,May,1,2015-05-01,-98.6647239,21.60728856
2015,25006,May,1,2015-05-01,-107.26665386,24.6514903
2015,25011,May,1,2015-05-01,-108.55819187,25.5345967
2015,25012,May,1,2015-05-01,-106.30596381,23.46841439
2015,26030,May,1,2015-05-01,-111.4735094,29.02367335
2015,30010,May,1,2015-05-01,-97.12733097,19.77627465
2015,30013,May,1,2015-05-01,-97.68538713,21.31317133
2015,30161,May,1,2015-05-01,-98.38160913,21.56885045
2015,02005,June,1,2015-06-01,-116.89073979,32.25294193
2015,04004,June,1,2015-06-01,-90.4993197,19.13421881
2015,05027,June,1,2015-06-01,-101.28206527,25.9137476
2015,05030,June,1,2015-06-01,-101.1251087,25.02914759
2015,07026,June,1,2015-06-01,-92.57043516,16.95015717
2015,07078,June,1,2015-06-01,-92.58994606,16.67829711
2015,07078,June,1,2015-06-01,-92.58994606,16.67829711
2015,07089,June,1,2015-06-01,-92.30479679,14.93396804
2015,09007,June,1,2015-06-01,-99.05679896,19.34916632
2015,09007,June,1,2015-06-01,-99.05679896,19.34916632
2015,09014,June,1,2015-06-01,-99.16113466,19.38064242
2015,09016,June,2,2015-06-01,-99.20456691,19.42806236
2015,11007,June,1,2015-06-01,-100.78786497,20.5375656
2015,14050,June,1,2015-06-01,-103.41718129,20.31451142
2015,14096,June,1,2015-06-01,-103.07107255,20.11962202
2015,14097,June,2,2015-06-01,-103.41736734,20.47869601
2015,14120,June,1,2015-06-01,-103.49421,20.79490429
2015,15104,June,1,2015-06-01,-99.17014636,19.54274532
2015,15118,June,1,2015-06-01,-99.7978222,19.21501978
2015,15122,June,1,2015-06-01,-98.94831698,19.2764065
2015,16065,June,1,2015-06-01,-102.07105199,19.65412656
2015,19031,June,1,2015-06-01,-100.12147985,25.61409014
2015,24028,June,1,2015-06-01,-100.96088855,22.27047925
2015,26048,June,1,2015-06-01,-113.29311912,31.52942876
2015,30201,June,1,2015-06-01,-96.92548505,18.64926051
2015,06007,July,1,2015-07-01,-104.29979865,19.14949701
2015,06009,July,1,2015-07-01,-105.03221063,18.86423254
2015,07015,July,1,2015-07-01,-92.16413446,15.08624107
2015,07027,July,1,2015-07-01,-92.97604928,16.60663508
2015,07031,July,1,2015-07-01,-92.03514187,17.10969122
2015,07034,July,1,2015-07-01,-92.08776684,15.76265142
2015,07108,July,1,2015-07-01,-93.37550681,16.3461952
2015,09007,July,1,2015-07-01,-99.05679896,19.34916632
2015,09014,July,1,2015-07-01,-99.16113466,19.38064242
2015,11007,July,2,2015-07-01,-100.78786497,20.5375656
2015,14037,July,1,2015-07-01,-104.19512481,19.80105574
2015,14039,July,2,2015-07-01,-103.33574832,20.67621886
2015,14101,July,1,2015-07-01,-103.2143447,20.62005309
2015,14120,July,1,2015-07-01,-103.49421,20.79490429
2015,15014,July,1,2015-07-01,-99.84581628,19.80985286
2015,15025,July,1,2015-07-01,-98.83168617,19.25359717
2015,15034,July,1,2015-07-01,-98.7366496,18.96802196
2015,15037,July,1,2015-07-01,-99.3395276,19.38310083
2015,16052,July,1,2015-07-01,-102.37511298,18.08853957
2015,17029,July,1,2015-07-01,-99.05235336,18.87223534
2015,21019,July,1,2015-07-01,-98.4522922,18.89906991
2015,22014,July,1,2015-07-01,-100.45271029,20.72880538
2015,26030,July,3,2015-07-01,-111.4735094,29.02367335
2015,26043,July,1,2015-07-01,-111.00244332,31.19883403
2015,26055,July,1,2015-07-01,-114.35126008,32.01703661
2015,30039,July,1,2015-07-01,-94.39736763,18.13255848
2015,30123,July,1,2015-07-01,-98.25637589,22.11398629
2015,30152,July,1,2015-07-01,-97.77841936,21.93617932
2015,30193,July,1,2015-07-01,-96.22166441,19.18582605
2015,02004,August,2,2015-08-01,-116.81997003,32.40407195
2015,05035,August,1,2015-08-01,-103.24891934,25.17007521
2015,07012,August,1,2015-08-01,-93.3190748,16.86660665
2015,07027,August,1,2015-08-01,-92.97604928,16.60663508
2015,09005,August,1,2015-08-01,-99.11586421,19.50406521
2015,09007,August,1,2015-08-01,-99.05679896,19.34916632
2015,09011,August,1,2015-08-01,-99.00282162,19.27699838
2015,09011,August,3,2015-08-01,-99.00282162,19.27699838
2015,09013,August,1,2015-08-01,-99.0903636,19.24514505
2015,09013,August,1,2015-08-01,-99.0903636,19.24514505
2015,11011,August,1,2015-08-01,-100.93837027,20.42911364
2015,14035,August,1,2015-08-01,-102.19147983,21.55570522
2015,14039,August,1,2015-08-01,-103.33574832,20.67621886
2015,14039,August,1,2015-08-01,-103.33574832,20.67621886
2015,14093,August,1,2015-08-01,-102.72084288,20.81484228
2015,14097,August,1,2015-08-01,-103.41736734,20.47869601
2015,15011,August,1,2015-08-01,-98.96213222,19.54543136
2015,15031,August,1,2015-08-01,-98.94720806,19.41627371
2015,15063,August,1,2015-08-01,-99.39641629,19.0092341
2015,15081,August,1,2015-08-01,-98.98650793,19.7058364
2015,15106,August,1,2015-08-01,-99.66699652,19.29626331
2015,15120,August,1,2015-08-01,-99.07182055,19.80910677
2015,15121,August,1,2015-08-01,-99.22522664,19.65453652
2015,15122,August,1,2015-08-01,-98.94831698,19.2764065
2015,17018,August,1,2015-08-01,-99.27224257,18.84253096
2015,17028,August,1,2015-08-01,-99.23527614,18.76189782
2015,20067,August,1,2015-08-01,-96.72412007,17.10210531
2015,20482,August,1,2015-08-01,-98.12139237,16.29240029
2015,25006,August,1,2015-08-01,-107.26665386,24.6514903
2015,26012,August,1,2015-08-01,-110.15912405,27.74388509
2015,30044,August,1,2015-08-01,-96.93845744,18.93236783
2015,30087,August,1,2015-08-01,-96.88833353,19.54385763
2015,30093,August,1,2015-08-01,-96.9164818,19.6111875
2015,30134,August,1,2015-08-01,-96.56567185,19.30132699
2015,05030,September,1,2015-09-01,-101.1251087,25.02914759
2015,06002,September,1,2015-09-01,-103.63266776,19.11609609
2015,07024,September,1,2015-09-01,-92.21697044,16.61153322
2015,07089,September,1,2015-09-01,-92.30479679,14.93396804
2015,09002,September,1,2015-09-01,-99.18210694,19.48532861
2015,09003,September,1,2015-09-01,-99.15037635,19.32666725
2015,09007,September,1,2015-09-01,-99.05679896,19.34916632
2015,09007,September,3,2015-09-01,-99.05679896,19.34916632
2015,09015,September,1,2015-09-01,-99.14905576,19.43137343
2015,09015,September,1,2015-09-01,-99.14905576,19.43137343
2015,11004,September,1,2015-09-01,-100.57352007,20.42184137
2015,11007,September,1,2015-09-01,-100.78786497,20.5375656
2015,11020,September,1,2015-09-01,-101.62240262,21.12474925
2015,14006,September,1,2015-09-01,-104.08054327,20.5416639
2015,14039,September,1,2015-09-01,-103.33574832,20.67621886
2015,14077,September,1,2015-09-01,-103.90513653,20.44992064
2015,14093,September,1,2015-09-01,-102.72084288,20.81484228
2015,14094,September,1,2015-09-01,-103.78096192,21.11246072
2015,14097,September,1,2015-09-01,-103.41736734,20.47869601
2015,15005,September,1,2015-09-01,-99.82940584,19.40541435
2015,15013,September,1,2015-09-01,-99.27404399,19.56480728
2015,15033,September,2,2015-09-01,-99.04321177,19.57278367
2015,15036,September,1,2015-09-01,-99.02800775,19.95241235
2015,15053,September,1,2015-09-01,-99.13354781,19.70965059
2015,15057,September,1,2015-09-01,-99.29260539,19.47125315
2015,16034,September,1,2015-09-01,-100.67789721,19.61260339
2015,16043,September,1,2015-09-01,-102.31600195,19.93494144
2015,16053,September,1,2015-09-01,-101.27910664,19.66659348
2015,17029,September,1,2015-09-01,-99.05235336,18.87223534
2015,22006,September,1,2015-09-01,-100.44107489,20.48544207
2015,22014,September,1,2015-09-01,-100.45271029,20.72880538
2015,24028,September,1,2015-09-01,-100.96088855,22.27047925
2015,26018,September,1,2015-09-01,-109.88677107,27.79281977
2015,26029,September,1,2015-09-01,-110.62594745,28.14256372
2015,30044,September,1,2015-09-01,-96.93845744,18.93236783
2015,30077,September,1,2015-09-01,-95.55839757,18.08214803
2015,30087,September,2,2015-09-01,-96.88833353,19.54385763
2015,30118,September,1,2015-09-01,-97.10480787,18.85586189
2015,02002,October,1,2015-10-01,-115.16622899,31.74174431
2015,05002,October,1,2015-10-01,-102.01002665,29.43260232
2015,05009,October,1,2015-10-01,-103.18085741,26.32014576
2015,05025,October,1,2015-10-01,-100.61446971,28.7798203
2015,05027,October,1,2015-10-01,-101.28206527,25.9137476
2015,07022,October,1,2015-10-01,-92.61180176,17.02127055
2015,07027,October,1,2015-10-01,-92.97604928,16.60663508
2015,07087,October,1,2015-10-01,-92.22712117,14.63938353
2015,07106,October,1,2015-10-01,-92.60789686,16.31731243
2015,07106,October,1,2015-10-01,-92.60789686,16.31731243
2015,07111,October,1,2015-10-01,-92.78198098,16.72191589
2015,09009,October,1,2015-10-01,-99.05109542,19.1394566
2015,10005,October,1,2015-10-01,-104.84370124,23.97048255
2015,11017,October,1,2015-10-01,-101.36832076,20.6998135
2015,11020,October,1,2015-10-01,-101.62240262,21.12474925
2015,14039,October,1,2015-10-01,-103.33574832,20.67621886
2015,14039,October,1,2015-10-01,-103.33574832,20.67621886
2015,14061,October,1,2015-10-01,-103.99442751,22.22244116
2015,14070,October,1,2015-10-01,-103.24545725,20.53902526
2015,14070,October,1,2015-10-01,-103.24545725,20.53902526
2015,14082,October,1,2015-10-01,-103.59464392,19.86176203
2015,14108,October,1,2015-10-01,-103.45726437,19.47902982
2015,14120,October,1,2015-10-01,-103.49421,20.79490429
2015,15023,October,1,2015-10-01,-99.22220534,19.78998449
2015,15036,October,1,2015-10-01,-99.02800775,19.95241235
2015,15045,October,1,2015-10-01,-99.5965693,20.01910289
2015,15057,October,1,2015-10-01,-99.29260539,19.47125315
2015,15115,October,1,2015-10-01,-99.46759868,19.43695108
2015,15121,October,1,2015-10-01,-99.22522664,19.65453652
2015,15122,October,1,2015-10-01,-98.94831698,19.2764065
2015,16006,October,1,2015-10-01,-102.4233222,18.93817311
2015,16020,October,1,2015-10-01,-101.11182379,19.98059264
2015,16053,October,1,2015-10-01,-101.27910664,19.66659348
2015,17006,October,1,2015-10-01,-98.96180449,18.82705976
2015,17015,October,1,2015-10-01,-99.35517814,18.80295735
2015,21114,October,1,2015-10-01,-98.17615466,19.00761149
2015,22014,October,1,2015-10-01,-100.45271029,20.72880538
2015,25012,October,1,2015-10-01,-106.30596381,23.46841439
2015,25018,October,1,2015-10-01,-107.76459762,24.72325232
2015,26018,October,1,2015-10-01,-109.88677107,27.79281977
2015,26018,October,1,2015-10-01,-109.88677107,27.79281977
2015,30044,October,1,2015-10-01,-96.93845744,18.93236783
2015,30087,October,1,2015-10-01,-96.88833353,19.54385763
2015,30108,October,1,2015-10-01,-94.3886966,17.71136874
2015,30123,October,1,2015-10-01,-98.25637589,22.11398629
2015,30193,October,1,2015-10-01,-96.22166441,19.18582605
2015,07101,November,1,2015-11-01,-93.13728498,16.73944663
2015,07101,November,1,2015-11-01,-93.13728498,16.73944663
2015,09012,November,1,2015-11-01,-99.2062208,19.19833968
2015,09012,November,1,2015-11-01,-99.2062208,19.19833968
2015,11030,November,1,2015-11-01,-101.23369888,21.50320013
2015,14039,November,1,2015-11-01,-103.33574832,20.67621886
2015,14044,November,1,2015-11-01,-103.20737644,20.3916422
2015,14063,November,1,2015-11-01,-102.72405062,20.39744147
2015,14094,November,1,2015-11-01,-103.78096192,21.11246072
2015,14098,November,1,2015-11-01,-103.34785522,20.59148137
2015,14114,November,1,2015-11-01,-103.70885689,20.38964587
2015,14124,November,1,2015-11-01,-103.04883685,20.63604761
2015,15033,November,1,2015-11-01,-99.04321177,19.57278367
2015,15062,November,1,2015-11-01,-99.40628254,19.25951521
2015,16001,November,1,2015-11-01,-101.34000233,19.46583081
2015,16104,November,1,2015-11-01,-102.58640105,19.99376164
2015,17007,November,1,2015-11-01,-99.26302765,18.93887812
2015,17011,November,1,2015-11-01,-99.16645097,18.88515843
2015,17012,November,1,2015-11-01,-99.22254296,18.58455463
2015,21114,November,1,2015-11-01,-98.17615466,19.00761149
2015,26030,November,1,2015-11-01,-111.4735094,29.02367335
2015,26030,November,1,2015-11-01,-111.4735094,29.02367335
2015,27004,November,1,2015-11-01,-92.8602107,18.00910356
2015,27010,November,1,2015-11-01,-93.0838765,18.21330536
2015,30077,November,1,2015-11-01,-95.55839757,18.08214803
2015,30087,November,1,2015-11-01,-96.88833353,19.54385763
2015,02001,December,1,2015-12-01,-114.9572143,30.03650955
2015,05010,December,1,2015-12-01,-101.52827288,26.94769788
2015,05030,December,1,2015-12-01,-101.1251087,25.02914759
2015,05038,December,1,2015-12-01,-101.39501145,28.81197417
2015,06002,December,1,2015-12-01,-103.63266776,19.11609609
2015,06010,December,1,2015-12-01,-103.84442665,19.30960166
2015,07040,December,1,2015-12-01,-92.5468543,15.09698587
2015,07065,December,1,2015-12-01,-91.81265557,17.4440756
2015,07071,December,1,2015-12-01,-92.61956647,15.16542249
2015,07101,December,1,2015-12-01,-93.13728498,16.73944663
2015,07116,December,1,2015-12-01,-90.74342293,16.24635014
2015,09005,December,1,2015-12-01,-99.11586421,19.50406521
2015,09007,December,1,2015-12-01,-99.05679896,19.34916632
2015,09015,December,1,2015-12-01,-99.14905576,19.43137343
2015,09016,December,1,2015-12-01,-99.20456691,19.42806236
2015,14070,December,1,2015-12-01,-103.24545725,20.53902526
2015,14101,December,1,2015-12-01,-103.2143447,20.62005309
2015,14101,December,1,2015-12-01,-103.2143447,20.62005309
2015,14120,December,1,2015-12-01,-103.49421,20.79490429
2015,14120,December,1,2015-12-01,-103.49421,20.79490429
2015,15001,December,1,2015-12-01,-99.87153026,19.97294169
2015,15067,December,1,2015-12-01,-99.52993801,19.45024138
2015,16053,December,1,2015-12-01,-101.27910664,19.66659348
2015,17006,December,1,2015-12-01,-98.96180449,18.82705976
2015,17017,December,1,2015-12-01,-99.28567481,18.57779342
2015,21114,December,1,2015-12-01,-98.17615466,19.00761149
2015,25005,December,1,2015-12-01,-106.79943513,24.48148376
2015,26025,December,1,2015-12-01,-110.66872886,28.00849387
2015,26042,December,1,2015-12-01,-109.4027334,27.07810146
2015,26043,December,1,2015-12-01,-111.00244332,31.19883403
2015,27002,December,1,2015-12-01,-93.64675234,18.17016622
2015,27004,December,2,2015-12-01,-92.8602107,18.00910356
2015,27016,December,1,2015-12-01,-92.95237537,17.62330665
2015,30044,December,2,2015-12-01,-96.93845744,18.93236783
2015,30087,December,1,2015-12-01,-96.88833353,19.54385763
2015,30193,December,1,2015-12-01,-96.22166441,19.18582605
2015,31050,December,1,2015-12-01,-89.63952414,20.98406703
2016,04003,January,1,2016-01-01,-91.48322871,18.52404216
2016,05002,January,1,2016-01-01,-102.01002665,29.43260232
2016,05030,January,1,2016-01-01,-101.1251087,25.02914759
2016,05030,January,2,2016-01-01,-101.1251087,25.02914759
2016,06002,January,1,2016-01-01,-103.63266776,19.11609609
2016,06009,January,1,2016-01-01,-105.03221063,18.86423254
2016,07066,January,1,2016-01-01,-92.4640654,17.06010348
2016,07107,January,1,2016-01-01,-93.23025415,16.07734699
2016,09007,January,2,2016-01-01,-99.05679896,19.34916632
2016,09017,January,2,2016-01-01,-99.0931058,19.43049545
2016,11007,January,1,2016-01-01,-100.78786497,20.5375656
2016,12001,January,1,2016-01-01,-99.71430891,16.9572002
2016,12066,January,1,2016-01-01,-98.61554475,17.56217381
2016,14039,January,1,2016-01-01,-103.33574832,20.67621886
2016,14097,January,1,2016-01-01,-103.41736734,20.47869601
2016,15045,January,1,2016-01-01,-99.5965693,20.01910289
2016,15048,January,1,2016-01-01,-99.82360682,19.71719207
2016,15057,January,1,2016-01-01,-99.29260539,19.47125315
2016,15062,January,1,2016-01-01,-99.40628254,19.25951521
2016,15095,January,1,2016-01-01,-99.30619368,19.72521313
2016,15118,January,1,2016-01-01,-99.7978222,19.21501978
2016,16052,January,1,2016-01-01,-102.37511298,18.08853957
2016,20079,January,1,2016-01-01,-95.21957567,16.19338942
2016,20184,January,1,2016-01-01,-96.09253795,18.02855889
2016,20318,January,1,2016-01-01,-97.06957763,15.94964572
2016,20413,January,2,2016-01-01,-96.22325684,15.79625444
2016,21132,January,1,2016-01-01,-98.42851299,19.26895642
2016,27003,January,1,2016-01-01,-92.58623946,18.36142312
2016,27005,January,1,2016-01-01,-93.33669765,18.28692896
2016,30087,January,1,2016-01-01,-96.88833353,19.54385763
2016,30099,January,1,2016-01-01,-97.26566391,18.83652575
2016,30108,January,1,2016-01-01,-94.3886966,17.71136874
2016,06002,February,1,2016-02-01,-103.63266776,19.11609609
2016,06007,February,1,2016-02-01,-104.29979865,19.14949701
2016,07051,February,1,2016-02-01,-92.89163518,15.46101209
2016,07065,February,1,2016-02-01,-91.81265557,17.4440756
2016,07089,February,1,2016-02-01,-92.30479679,14.93396804
2016,07108,February,1,2016-02-01,-93.37550681,16.3461952
2016,09005,February,1,2016-02-01,-99.11586421,19.50406521
2016,09007,February,1,2016-02-01,-99.05679896,19.34916632
2016,09010,February,1,2016-02-01,-99.24681971,19.33617556
2016,11022,February,1,2016-02-01,-101.47299696,21.5795705
2016,13016,February,1,2016-02-01,-98.28166824,19.98430844
2016,13051,February,1,2016-02-01,-98.72017324,20.05865871
2016,14009,February,1,2016-02-01,-103.67901414,20.75497256
2016,14024,February,1,2016-02-01,-103.82445925,20.39035318
2016,14037,February,1,2016-02-01,-104.19512481,19.80105574
2016,14094,February,1,2016-02-01,-103.78096192,21.11246072
2016,14097,February,1,2016-02-01,-103.41736734,20.47869601
2016,14098,February,1,2016-02-01,-103.34785522,20.59148137
2016,14098,February,1,2016-02-01,-103.34785522,20.59148137
2016,15033,February,1,2016-02-01,-99.04321177,19.57278367
2016,15033,February,1,2016-02-01,-99.04321177,19.57278367
2016,15039,February,1,2016-02-01,-98.77905526,19.34280188
2016,15092,February,1,2016-02-01,-98.87066921,19.68631789
2016,17017,February,1,2016-02-01,-99.28567481,18.57779342
2016,20041,February,1,2016-02-01,-96.79997821,18.14458495
2016,20390,February,1,2016-02-01,-96.69111153,17.06497528
2016,20439,February,1,2016-02-01,-96.68183626,15.77289022
2016,21114,February,1,2016-02-01,-98.17615466,19.00761149
2016,21114,February,2,2016-02-01,-98.17615466,19.00761149
2016,25006,February,1,2016-02-01,-107.26665386,24.6514903
2016,25012,February,1,2016-02-01,-106.30596381,23.46841439
2016,25016,February,1,2016-02-01,-106.37017641,23.95449476
2016,26055,February,1,2016-02-01,-114.35126008,32.01703661
2016,27004,February,1,2016-02-01,-92.8602107,18.00910356
2016,27006,February,1,2016-02-01,-93.22066924,18.07657775
2016,27009,February,1,2016-02-01,-92.78703376,17.76359427
2016,27012,February,1,2016-02-01,-92.45860022,17.84503972
2016,30089,February,1,2016-02-01,-94.71507467,17.87041569
2016,30108,February,1,2016-02-01,-94.3886966,17.71136874
2016,30149,February,1,2016-02-01,-94.90079557,18.23697539
2016,30189,February,1,2016-02-01,-97.41178697,20.93479451
2016,32039,February,1,2016-02-01,-103.03186161000001,23.78296103
2016,02004,March,1,2016-03-01,-116.81997003,32.40407195
2016,04003,March,1,2016-03-01,-91.48322871,18.52404216
2016,05035,March,1,2016-03-01,-103.24891934,25.17007521
2016,06003,March,1,2016-03-01,-103.76999414,19.39344345
2016,06003,March,1,2016-03-01,-103.76999414,19.39344345
2016,06005,March,1,2016-03-01,-103.59549864,19.32684376
2016,06007,March,1,2016-03-01,-104.29979865,19.14949701
2016,06007,March,1,2016-03-01,-104.29979865,19.14949701
2016,07059,March,1,2016-03-01,-91.33749873,16.70209387
2016,07061,March,1,2016-03-01,-93.49094584,16.82629461
2016,07069,March,1,2016-03-01,-93.19240132,15.66955613
2016,07072,March,1,2016-03-01,-92.86173804,17.21802969
2016,07074,March,1,2016-03-01,-93.22938058,17.86422331
2016,07078,March,1,2016-03-01,-92.58994606,16.67829711
